0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
94,Troy,4-8,3-8,-.63,,2.22,69,2.14,30,2.01,75,3.82,43,,2.85,112,1.11,34,2.69,114,4.37,117
95,Florida Atlantic,3-9,2-9,-.65,,1.94,97,1.63,62,1.80,95,3.13,89,,2.59,99,2.42,114,2.58,104,2.80,28
96,Kentucky,4-8,3-8,-.65,,1.61,115,1.29,85,1.62,107,2.18,129,,2.27,71,1.73,71,1.88,46,4.33,115
97,Maryland,4-8,3-8,-.70,,1.81,106,.96,106,1.70,105,3.69,54,,2.51,89,2.12,102,2.28,80,4.00,100
98,Air Force,5-7,4-7,-.72,,1.86,102,2.82,7,1.40,119,3.36,76,,2.58,97,1.40,51,2.54,103,3.70,84
99,Arkansas State,8-5,7-5,-.72,,2.16,77,1.33,82,2.17,61,3.50,67,,2.88,113,1.83,79,2.97,123,3.94,97
100,Rice,4-8,3-8,-.74,,1.34,125,.65,125,1.36,122,1.83,133,,2.08,50,1.48,57,1.92,48,3.45,69
101,Hawaii,5-7,3-7,-.77,,1.85,103,1.15,96,1.94,85,4.00,35,,2.62,101,2.87,126,2.09,66,3.58,77
102,Oregon State,5-7,4-7,-.80,,2.17,75,1.71,53,2.12,67,3.80,44,,2.98,116,2.21,104,3.02,125,3.57,75
103,Houston,4-8,4-8,-.81,,1.12,131,.36,132,.91,132,2.57,117,,1.93,39,1.31,45,1.90,47,2.59,21
104,UL Monroe,5-7,4-7,-.83,,1.68,111,-.25,134,1.86,90,2.69,110,,2.51,90,1.92,88,2.48,97,3.29,56
105,Utah State,4-8,3-8,-.84,,2.28,57,.50,130,2.29,48,3.61,63,,3.12,121,2.23,106,2.65,108,5.31,131
,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
106,Wyoming,3-9,3-8,-.86,,1.53,121,1.38,79,1.46,116,2.13,130,,2.39,82,2.27,108,2.49,98,2.22,8
107,UCLA,5-7,5-7,-.87,,1.77,110,1.48,71,1.46,117,3.33,77,,2.64,104,1.91,86,2.24,77,4.85,125
108,Charlotte,5-7,4-7,-.88,,2.00,95,1.41,77,2.14,64,2.36,126,,2.88,114,1.85,82,2.94,121,3.20,49
109,Arizona,4-8,3-8,-.95,,2.11,83,1.68,58,2.14,65,2.56,120,,3.06,119,3.26,130,2.72,116,4.21,113
